run;arena1(391787);arena2(46753);arena3(833139);arena4(406338)
1; 769 (712659); 817 (525799); 318 (991166); 564 (733309)
2; 656 (856089); 774 (579969); 345 (418680); 496 (33018)
3; 723 (305032); 0.89290844317979 (715223); 321 (483080); 2.0935107486989 (986296)
4; 468 (830554); 0.87010055618528 (986128); 296 (525029); 943 (185796)
5; 310 (227437); 1.6527668247823  (237437); 314 (227003); 1.046631447523 (461587)


